Selección,Fuente,URL,Image_url,Titulo,Descripcion,Tiempo de preparación,Tipo de comida,Categoria,PDF_URL,Ingrediente_1,Cantidad_1,Tipo_1,Ingrediente_2,Cantidad_2,Tipo_2,Ingrediente_3,Cantidad_3,Tipo_3,Ingrediente_4,Cantidad_4,Tipo_4,Ingrediente_5,Cantidad_5,Tipo_5,Ingrediente_6,Cantidad_6,Tipo_6,Ingrediente_7,Cantidad_7,Tipo_7,Ingrediente_8,Cantidad_8,Tipo_8,Ingrediente_9,Cantidad_9,Tipo_9,Ingrediente_10,Cantidad_10,Tipo_10,Ingrediente_11,Cantidad_11,Tipo_11,Ingrediente_12,Cantidad_12,Tipo_12,Valor energético (kJ),Valor energético (kcal),Grasas,de las cuales saturadas,Carbohidratos,de los cuales azúcares,Fibra,Proteínas,Paso 1,Paso 2,Paso 3,Paso 4,Paso 5,Paso 6
TRUE,Come&Sana,,https://images.pexels.com/photos/2338407/pexels-photo-2338407.jpeg,Dorada a la plancha con ensalada de tomate,cebolla y espárragos,25 minutos,Comida,Pescados,,Dorada,400 gramo,Pescadería,Tomate,2 unidad,Vegetales y Legumbres,Cebolla,1 unidad,Vegetales y Legumbres,Espárragos,150 gramo,Vegetales y Legumbres,,,,,,,,,,,,,,,,,,,,,,,,,1000 kJ,239 kcal,10 g,2 g,10 g,5 g,6 g,25 g,Sazona la dorada con sal y pimienta,Cocina la dorada a la plancha con un poco de aceite de oliva hasta que esté dorada y cocida,Lava y corta los tomates en gajos,Pela y corta la cebolla en rodajas finas,"Cocina los espárragos en agua hirviendo con sal durante 5-7 minutos, luego escurre y enfría","Mezcla los tomates, cebolla y espárragos en un bol. Aliña con aceite de oliva, vinagre, sal y pimienta al gusto"
TRUE,Come&Sana,,https://images.pexels.com/photos/1213710/pexels-photo-1213710.jpeg,Judías salteadas con champiñones pimineto,y langostinos cocidos,25 minutos,Comida,Pescados,,Judías verdes,300 gramo,Vegetales y Legumbres,Champiñones,200 gramo,Vegetales y Legumbres,Pimiento,1 unidad,Vegetales y Legumbres,Langostinos cocidos,200 gramo,Pescadería,,,,,,,,,,,,,,,,,,,,,,,,,1050 kJ,250 kcal,10 g,2 g,20 g,5 g,6 g,20 g,Lava y corta las judías verdes en trozos pequeños,Limpia y corta los champiñones en láminas,Lava y corta el pimiento en tiras,"En una sartén grande, calienta aceite de oliva y saltea las judías verdes durante 5-7 minutos",Añade los champiñones y el pimiento y cocina hasta que estén tiernos,Añade los langostinos cocidos y saltea durante 2-3 minutos más. 
TRUE,Come&Sana,,https://images.unsplash.com/photo-1488477181946-6428a0291777?q=80&w=1000,Ensalada de pimientos asados y tomate,con cebolla y  huevo cocido,20 minutos,Cena,Vegetariano,,Pimientos asados,200 gramo,Vegetales y Legumbres,Tomate,2 unidad,Vegetales y Legumbres,Cebolla,1 unidad,Vegetales y Legumbres,Huevo cocido,2 unidad,Lácteos y Derivados,,,,,,,,,,,,,,,,,,,,,,,,,1100 kJ,263 kcal,15 g,3 g,20 g,10 g,6 g,12 g,Asa los pimientos en el horno hasta que la piel esté negra y se desprenda fácilmente,Pela los pimientos y córtalos en tiras,Lava y corta los tomates en gajos,Pela y corta la cebolla en rodajas finas,Cuece los huevos en agua hirviendo durante 10 minutos y pélalos,"Mezcla los pimientos asados, tomates, cebolla y huevo cocido cortado en rodajas. Aliña con aceite de oliva, vinagre, sal y pimienta al gusto y sirve"
TRUE,Come&Sana,,https://images.pexels.com/photos/6941026/pexels-photo-6941026.jpeg,Tofu con pimiento calabacín,y maiz a la plancha,20 minutos,Comida,Vegetariano,,Tofu,300 gramo,Otras Categorías,Pimiento,1 unidad,Vegetales y Legumbres,Calabacín,2 unidad,Vegetales y Legumbres,Maíz,200 gramo,Vegetales y Legumbres,,,,,,,,,,,,,,,,,,,,,,,,,1100 kJ,263 kcal,15 g,2 g,20 g,5 g,5 g,15 g,Lava y corta el pimiento y el calabacín en trozos pequeños,Escurre el maíz enlatado,"En una sartén grande, calienta aceite de oliva y saltea el tofu hasta que esté dorado",Añade el pimiento y el calabacín a la sartén y cocina hasta que estén tiernos,Añade el maíz y cocina durante 2-3 minutos más,Salpimienta al gusto y mezcla bien. 
TRUE,Come&Sana,,https://images.pexels.com/photos/1527603/pexels-photo-1527603.jpeg,Pisto de verduras,con huevo a la plancha,35 minutos,Cena,Vegetariano,,Pisto de verduras,400 gramo,Vegetales y Legumbres,Huevo,2 unidad,Lácteos y Derivados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200 kJ,286 kcal,20 g,5 g,20 g,10 g,8 g,15 g,"Lava y corta en dados los pimientos, calabacines, berenjenas y tomates",Pela y pica finamente la cebolla y los ajos,"En una sartén grande, calienta aceite de oliva y sofríe la cebolla y el ajo hasta que estén dorados","Añade las verduras cortadas y cocina a fuego medio durante 20-25 minutos, removiendo ocasionalmente",Salpimienta al gusto y cocina hasta que las verduras estén tiernas,"Mientras tanto, cocina los huevos a la plancha con un poco de aceite. Sirve el pisto caliente con los huevos a la plancha encima"
TRUE,Come&Sana,,https://images.pexels.com/photos/539451/pexels-photo-539451.jpeg,Garbanzos,con espinacas,35 minutos,Comida,Vegetariano,,Garbanzos,400 gramo,Legumbres,Espinacas,200 gramo,Vegetales y Legumbres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200 kJ,286 kcal,5 g,1 g,40 g,5 g,10 g,15 g,Remoja los garbanzos en agua durante la noche,Cocina los garbanzos en agua hirviendo con sal hasta que estén tiernos,Lava y corta las espinacas,"En una sartén grande, calienta aceite de oliva y saltea las espinacas hasta que estén tiernas",Añade los garbanzos cocidos a la sartén y mezcla bien,Salpimienta al gusto y cocina durante 5-7 minutos más. 
TRUE,Penaparda,,https://images.unsplash.com/photo-1525351484163-7529414344d8?q=80&w=1000,Pechugas de pollo al horno con calabaza,zanahoria y queso feta,1 hora,Comida,Aves,,Pechuga de pollo,400 gramo,Carnicería,Zanahoria,4 unidad,Vegetales y Legumbres,Calabaza,1 unidad,Vegetales y Legumbres,Queso Feta,2 unidad,"Lácteos, Huevos y Derivados",,,,,,,,,,,,,,,,,,,,,,,,,1200 kJ,290 kcal,15 g,5 g,15 g,5 g,4 g,20 g,Precalienta el horno a 200ºC,Corta la calabaza y las Zanahoria en trozos pequeños,Coloca las pechugas de pollo en una bandeja de horno y sazona con sal y pimienta,Añade la calabaza y las Zanahoria alrededor del pollo,Rocía con aceite de oliva y hornea durante 25-30 minutos o hasta que el pollo esté cocido y las verduras estén tiernas,Espolvorea el queso feta desmenuzado por encima antes de servir
TRUE,Penaparda,,https://images.pexels.com/photos/2338407/pexels-photo-2338407.jpeg,Albóndigas de Carne Caseras,en Tomate frito,1 hora,Comida,Carnes,,Carne picada,500 gramo,Carnicería,Pan rallado,50 gramo,Cereales y Derivados,Huevos,1 unidad,"Lácteos, Huevos y Derivados",Ajo,1 unidad,Vegetales y Legumbres,Perejil,0.5 unidad,Condimentos y Especias,Tomate frito,200 gramo,Vegetales y Legumbres,Cebolla,1 unidad,Vegetales y Legumbres,Azúcar,1 cucharadita,Condimentos y Especias,Orégano,1 cucharadita,Condimentos y Especias,Albahaca fresca,1 cucharada,Vegetales y Legumbres,Caldo de pollo,100 mililitro,Líquidos y Caldos,,,,1200 kJ,290 kcal,10 g,3 g,30 g,5 g,4 g,20 g,"En un bol, mezcla la carne picada, el pan rallado, el Huevos, el ajo picado, el perejil, la sal y la pimienta",Forma albóndigas con la mezcla y fríelas en una sartén con aceite de oliva hasta que estén doradas,Retira las albóndigas y en la misma sartén sofríe la cebolla picada hasta que esté transparente,"Añade el Tomate frito, el azúcar, el orégano y el caldo de pollo",Cocina a fuego lento durante 20 minutos,Añade las albóndigas a la salsa y cocina durante 10 minutos más
TRUE,Penaparda,,https://images.pexels.com/photos/1213710/pexels-photo-1213710.jpeg,Ensalada Creativa,con fruta variada,20 minutos,Cena,Ensaladas,,Fresas,100 gramo,Frutas,Lechuga,100 gramo,Vegetales y Legumbres,Tomate cherry,100 gramo,Vegetales y Legumbres,Queso feta,50 gramo,"Lácteos, Huevos y Derivados",Almendras laminadas,30 gramo,Frutos Secos,Arándanos secos,30 gramo,Frutos Secos,Limón,1 unidad,Frutas,Menta fresca,1 cucharada,Condimentos y Especias,,,,,,,,,,,,,1200 kJ,290 kcal,10 g,3 g,25 g,4 g,3 g,20 g,Lava y corta la lechuga y los tomates cherry,"En una ensaladera, mezcla la lechuga, los tomates cherry, el queso feta desmenuzado, las almendras y los arándanos secos","En un bol pequeño, mezcla el aceite de oliva, el zumo de limón, la sal y la pimienta",Añade el aliño a la ensalada y mezcla bien antes de servir,Decora con hojas de menta fresca,
TRUE,Penaparda,,https://images.unsplash.com/photo-1488477181946-6428a0291777?q=80&w=1001,Salmón en Papillote,con Verduras y Limón,30 minutos,Cena,Pescados,,Calabacín,1 unidad,Vegetales y Legumbres,Pimiento rojo,0.5 unidad,Vegetales y Legumbres,Zanahoria,1 unidad,Vegetales y Legumbres,Limón,1 unidad,Frutas,Ajo,1 unidad,Vegetales y Legumbres,Eneldo,1 cucharadita,Condimentos y Especias,,,,,,,,,,,,,,,,,,,1200 kJ,290 kcal,15 g,3 g,15 g,5 g,4 g,20 g,Precalienta el horno a 180ºC,"Corta el calabacín, el pimiento y la zanahoria en juliana",Coloca cada filete de salmón en una hoja de papel de horno,"Añade las verduras, el ajo picado, rodajas de limón, sal, pimienta y eneldo sobre el salmón",Rocía con aceite de oliva y cierra los paquetes de papel de horno,Hornea durante 20 minutos. Abre los paquetes con cuidado antes de servir
TRUE,Penaparda,,https://images.pexels.com/photos/6941026/pexels-photo-6941026.jpeg,Sándwiches Gourmet de Jamón y Queso,con Huevos,20 minutos,Cena,Fast Food,,Pan de molde,4 rebanada,Cereales y Derivados,Jamón York,100 gramo,Charcutería,Queso,50 gramo,"Lácteos, Huevos y Derivados",Huevos,2 unidad,"Lácteos, Huevos y Derivados",Mantequilla,1 cucharada,"Lácteos, Huevos y Derivados",,,,,,,,,,,,,,,,,,,,,,1250 kJ,300 kcal,15 g,5 g,30 g,6 g,4 g,10 g,Unta las rebanadas de pan con mantequilla y mostaza,Coloca el jamón serrano y el queso brie en dos rebanadas de pan y cubre con las otras dos rebanadas,Cocina los sándwiches en una sartén hasta que estén dorados por ambos lados,"En una cacerola, hierve agua y añade una pizca de sal",Pocha los Huevos durante 3-4 minutos hasta que las claras estén firmes,Sirve los sándwiches con los Huevos pochados por encima
TRUE,Penaparda,,https://images.pexels.com/photos/1527603/pexels-photo-1527603.jpeg,Revuelto de Huevos con Gulas,Champiñones y Gambas,20 minutos,Cena,Vegetariano,,Huevos,4 unidad,"Lácteos, Huevos y Derivados",Gulas,100 gramo,Pescadería,Champiñones,100 gramo,Vegetales y Legumbres,Gambas,100 gramo,Pescadería,Ajo,1 unidad,Vegetales y Legumbres,Perejil,0.5 unidad,Condimentos y Especias,,,,,,,,,,,,,,,,,,,1250 kJ,300 kcal,20 g,5 g,5 g,3 g,2 g,25 g,"En una sartén, calienta el aceite de oliva y añade el ajo picado",Añade los champiñones y cocina hasta que estén tiernos,Agrega las gambas y las gulas y cocina durante 3-4 minutos,Bate los Huevos con sal y pimienta,"Vierte los Huevos en la sartén y cocina a fuego lento, removiendo constantemente",Añade el Perejil picado y sirve caliente
TRUE,Come&Sana,,https://images.pexels.com/photos/539451/pexels-photo-539451.jpeg,Pollo al horno,con calabaza y zanahoria,50 minutos,Comida,Carnes,,Pollo,400 gramo,Carnicería,Calabaza,200 gramo,Vegetales y Legumbres,Zanahoria,2 unidad,Vegetales y Legumbres,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300 kJ,310 kcal,15 g,3 g,20 g,10 g,6 g,25 g,Precalienta el horno a 200°C,Pela y corta la calabaza y las zanahorias en cubos grandes,"Coloca el pollo en una bandeja para hornear y sazona con sal, pimienta y hierbas al gusto",Añade la calabaza y las zanahorias a la bandeja y mezcla con un poco de aceite de oliva,Hornea durante 25-30 minutos hasta que el pollo esté dorado y las verduras tiernas,Remueve ocasionalmente durante la cocción. 
TRUE,Come&Sana,,https://images.unsplash.com/photo-1525351484163-7529414344d8?q=80&w=1001,Soja texturizada,con pisto de verduras,25 minutos,Comida,Vegetariano,,Soja texturizada,200 gramo,Otras Categorías,Pisto de verduras,400 gramo,Vegetales y Legumbres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300 kJ,310 kcal,10 g,1 g,30 g,10 g,8 g,25 g,Hidrata la soja texturizada en agua caliente durante 10-15 minutos,Escurre bien la soja texturizada,Prepara el pisto de verduras lavando y cortando las verduras en cubos pequeños,"En una sartén grande, calienta aceite de oliva y sofríe la cebolla y el ajo hasta que estén dorados",Añade las verduras y cocina a fuego medio durante 20-25 minutos,Añade la soja texturizada a la sartén y mezcla bien. Salpimienta al gusto y cocina durante 5-7 minutos más
